timestamp,price,market_cap,total_volume
2023-08-22 00:00:00,26119.005958595222,508491920831.3545,9377753161.447634
2023-08-23 00:00:00,26033.675406585844,506356213378.17975,13702941053.015312
2023-08-24 00:00:00,26450.00862461353,514955818082.43463,14600566342.214415
2023-08-25 00:00:00,26134.934254516003,508906955118.32086,11961319630.81013
2023-08-26 00:00:00,26044.036209289134,507007928705.4434,2582213805.5461373
2023-08-27 00:00:00,26002.015717319366,506086069151.6848,3420999388.355067
2023-08-28 00:00:00,26082.717178218525,507835678906.77924,4743752357.401259
2023-08-29 00:00:00,26109.2698239287,508350651765.9018,9995933796.2508
2023-08-30 00:00:00,27730.50373550554,539045091002.16876,29462388818.839893
2023-08-31 00:00:00,27297.261438480404,531729400483.3156,16029914124.395369
2023-09-01 00:00:00,25927.417005779287,505403246528.0237,20360682650.055054
2023-09-02 00:00:00,25812.33049442542,502687549096.97003,15924588668.893366
2023-09-03 00:00:00,25853.65684277757,503679892454.50775,8203515572.755595
2023-09-04 00:00:00,25959.596311463454,505513039060.68445,8301138495.084562
2023-09-05 00:00:00,25829.364772941324,502409490053.88367,6700578092.438599
2023-09-06 00:00:00,25784.41351983038,501979376928.41833,7633735596.705433
2023-09-07 00:00:00,25752.958418589413,501615002105.18665,12225427270.62692
2023-09-08 00:00:00,26192.333433090567,509837705629.17126,4521997781.160889
2023-09-09 00:00:00,25907.228137249735,504533063388.2184,8058794338.820984
2023-09-10 00:00:00,25889.3250094629,504373920218.6837,404806432.52168876
2023-09-11 00:00:00,25834.580098562914,503489661583.33154,6603006234.083502
2023-09-12 00:00:00,25133.303106566527,489502952545.6269,14859931201.000029
2023-09-13 00:00:00,25866.806663158084,503997883573.3815,16825266473.048721
2023-09-14 00:00:00,26223.436075660946,510909474484.6564,12975855576.243193
2023-09-15 00:00:00,26531.39556626326,516823786025.9003,11739428177.432598
2023-09-16 00:00:00,26634.631025000588,518872387637.1001,9768889419.723415
2023-09-17 00:00:00,26557.768691994646,517396850180.9239,1224363671.9175522
2023-09-18 00:00:00,26520.988254783886,516614128895.5437,5791146184.464804
2023-09-19 00:00:00,26741.461110948952,521346975856.46625,16477839825.058361
2023-09-20 00:00:00,27219.296874634216,530357673731.022,12615959842.229395
2023-09-21 00:00:00,27115.846446970816,529168513966.1614,13497179076.831764
2023-09-22 00:00:00,26561.133454198716,517743774814.63885,8169328790.751264
2023-09-23 00:00:00,26572.0381115526,518383856096.9625,9968041758.936823
2023-09-24 00:00:00,26573.9234797301,517968304453.25476,6583511185.708387
2023-09-25 00:00:00,26249.562897845204,511787693512.02826,7226298594.4955225
2023-09-26 00:00:00,26298.634678281232,512103393581.80255,11974957450.276283
2023-09-27 00:00:00,26204.75759083597,511054250889.6227,9786025048.05344
2023-09-28 00:00:00,26350.146895428057,513713645983.85016,12889674588.31686
2023-09-29 00:00:00,27009.01375072488,526917684460.40546,16683207554.844349
2023-09-30 00:00:00,26917.199101637976,524946724658.764,9059145545.41355
2023-10-01 00:00:00,26969.876144072576,525936342995.4552,6295435107.555985
2023-10-02 00:00:00,27967.510579087113,545302108027.2094,9358226524.285364
2023-10-03 00:00:00,27615.06488509527,538323470357.8827,18127133423.881855
2023-10-04 00:00:00,27439.121946705116,535605771922.47974,12676657038.293432
2023-10-05 00:00:00,27792.1112772493,541954661181.1118,10876597601.123325
2023-10-06 00:00:00,27435.874615135104,534851643044.50543,13376186563.311193
2023-10-07 00:00:00,27958.196437350485,545154869332.6545,13817979024.520027
2023-10-08 00:00:00,27977.543490700005,545619681437.3984,7226218924.820883
2023-10-09 00:00:00,27948.10365174851,544989660641.62256,7141598446.869208
2023-10-10 00:00:00,27593.782534439666,538282690587.88,7640029989.224315
2023-10-11 00:00:00,27392.247702732497,535200388379.76337,10151720983.669058
2023-10-12 00:00:00,26842.190439092396,523656381533.04626,14608441295.942532
2023-10-13 00:00:00,26729.137205815106,521607675083.3507,10867640258.925844
2023-10-14 00:00:00,26841.136220644406,523655619453.7407,14344414895.617512
2023-10-15 00:00:00,26863.183569079916,523979202939.078,5543160607.188677
2023-10-16 00:00:00,27150.29700140705,529643463244.3381,6604845643.42894
2023-10-17 00:00:00,28513.30993247735,555338775502.1107,22792799561.834
2023-10-18 00:00:00,28417.72175169982,555003134086.2079,10403248077.491972
2023-10-19 00:00:00,28328.245198134824,553311088369.7102,13461030457.558897
2023-10-20 00:00:00,28715.748142407952,559364043794.7655,11193923144.463654
2023-10-21 00:00:00,29677.392888476206,579536788709.3126,23561406297.715862
2023-10-22 00:00:00,29920.07449265145,583719549318.5221,7452489477.484937
2023-10-23 00:00:00,30019.38050086351,583399133857.2509,11330304246.065748
2023-10-24 00:00:00,32953.262760830985,641535355789.0791,35558857925.14893
2023-10-25 00:00:00,33846.72425733224,660676033939.1393,46464714676.18555
2023-10-26 00:00:00,34471.986031672015,673948847498.8158,23840463172.498646
2023-10-27 00:00:00,34174.451552912586,667401630872.5822,17712548549.578587
2023-10-28 00:00:00,33899.09305644032,662119938018.2968,14148818689.499771
2023-10-29 00:00:00,34092.630932838576,665892923223.9833,8431785274.868206
2023-10-30 00:00:00,34556.242814761616,674293769229.6088,10359013389.425524
2023-10-31 00:00:00,34498.70391946407,673508057017.6387,17075173423.648043
2023-11-01 00:00:00,34672.2892841885,676319525450.0793,16419150928.652367
2023-11-02 00:00:00,35457.45491210553,692543794894.7606,18642295524.912045
2023-11-03 00:00:00,34924.05545044328,681560028736.5514,20690186421.955303
2023-11-04 00:00:00,34731.38136896784,677974451476.0634,17254049537.002068
