Timestamp,BTC Price (USD)
2024-08-20 17:53:58,59229.066656632465
2024-08-20 17:54:29,59297.20133035666
2024-08-20 17:54:59,59297.20133035666
2024-08-20 17:55:29,59304.651489476906
2024-08-20 17:55:59,59304.651489476906
2024-08-20 17:56:30,59304.651489476906
2024-08-20 17:57:00,59304.651489476906
2024-08-20 17:57:33,59304.651489476906
2024-08-20 17:58:03,59266.15953436783
2024-08-20 17:58:33,59266.15953436783
2024-08-20 17:59:06,59324.19732106054
2024-08-20 17:59:36,59324.19732106054
2024-08-20 18:00:06,59324.19732106054
2024-08-20 18:00:37,59310.958667038714
2024-08-20 18:01:07,59310.958667038714
2024-08-20 18:01:37,59298.9327499707
2024-08-20 18:02:07,59298.9327499707
2024-08-20 18:02:38,59298.9327499707
2024-08-20 18:03:08,59336.080743303966
2024-08-20 18:03:38,59336.080743303966
2024-08-20 18:04:08,59336.080743303966
2024-08-20 18:04:39,59336.080743303966
2024-08-20 18:05:09,59343.26055952527
2024-08-20 18:05:39,59343.26055952527
2024-08-20 18:06:09,59342.215713507794
2024-08-20 18:06:40,59349.1925375836
2024-08-20 18:07:10,59349.1925375836
2024-08-20 18:07:40,59349.1925375836
2024-08-20 18:08:10,59497.68905899736
2024-08-20 18:08:40,59497.68905899736
2024-08-20 18:09:11,59525.35834761381
2024-08-20 18:09:41,59525.35834761381
2024-08-20 18:10:11,59525.35834761381
2024-08-20 18:10:42,59525.35834761381
2024-08-20 18:11:12,59506.003793483804
2024-08-20 18:11:43,59506.003793483804
2024-08-20 18:12:13,59506.003793483804
2024-08-20 18:12:43,59493.15165526062
2024-08-20 18:13:13,59493.15165526062
2024-08-20 18:13:44,59493.15165526062
2024-08-20 18:14:14,59468.314143185526
2024-08-20 18:14:44,59429.61595314195
2024-08-20 18:15:14,59429.61595314195
2024-08-20 18:15:44,59429.61595314195
2024-08-20 18:16:15,59429.61595314195
2024-08-20 18:16:45,59429.61595314195
2024-08-20 18:17:15,59443.260541752825
2024-08-20 18:17:45,59439.11623637285
2024-08-20 18:18:16,59389.20143537186
2024-08-20 18:18:46,59389.20143537186
2024-08-20 18:19:16,59389.20143537186
2024-08-20 18:19:46,59402.67362339492
2024-08-20 18:20:17,59402.67362339492
2024-08-20 18:20:47,59402.67362339492
2024-08-20 18:21:17,59402.67362339492
2024-08-20 18:21:48,59409.88915421874
2024-08-20 18:22:18,59409.88915421874
2024-08-20 18:22:48,59409.88915421874
2024-08-20 18:23:18,59422.2856232345
2024-08-20 18:23:50,59422.2856232345
